OriginalRace,SimplifiedRace
NA ,NA
White,White
Unable to Determine,NA
Black or African American,Black
Other Race,Other Race
"Black or African American, Unable to Determine",NA
"",NA
"Black or African American, White",Mixed Race
Declined to Answer,NA
"Unable to Determine, White",NA
"Black or African American, Unable to Determine, White",NA
"American Indian or Alaska Native, White",Mixed Race
"Black or African American, Other Race",Mixed Race
American Indian or Alaska Native,Other Race
"Black or African American, Other Race, White",Mixed Race
"Asian, Unable to Determine",Asian or Pacific Islander
Asian Indian,Asian or Pacific Islander
"Other Race, White",Mixed Race
Korean ,Asian or Pacific Islander
Guamanian or Chamorro,Asian or Pacific Islander
Other Pacific Islander,Asian or Pacific Islander
"Chinese, Other Race",Asian or Pacific Islander
Did Not Ask,NA
"American Indian or Alaska Native, Black or African American, White",Mixed Race
Other Asian,Asian or Pacific Islander
Filipino,Asian or Pacific Islander
"Asian Indian, Chinese",Asian or Pacific Islander
"Korean, White",Mixed Race
"Other Race, Unable to Determine",Other Race
"American Indian or Alaska Native, Unable to Determine, White",Mixed Race
"Black or African American, Chinese",Mixed Race
"Other Race, Unable to Determine, White",Mixed Race
"American Indian or Alaska Native, Black or African American",Mixed Race
"American Indian or Alaska Native, Other Race",Mixed Race
